kaupunki,maakunta,väkiluku,maapinta-ala,väestötiheys,Search term,Search term improved,Not,Muistiin,,SPARQL values surfaceForm,SPARQL values lemma (prefLabel)
Helsinki,Uusimaa,656250,214.29,"3,062.40",Helsin,Helsin,,NOT Helsingf?,,,"""Helsinki"" ""Helsing"" ""Helsingin kaupunki"" ""Helsinkihän"" ""Helsinkikin"""
Espoo,Uusimaa,293576,312.33,940.00,Espoo,Espoo,,,,,"""Espoo"" ""Espookin"" ""Espoohan"" ""Espoon kaupunki"""
Tampere,Pirkanmaa,241672,524.94,460.40,Tampere,Tampere,,,,,"""Tampere"" ""Tampereen kaupunki"" ""Tamperekin"" ""Tamperehan"" ""Tampede"""
Vantaa,Uusimaa,238033,238.37,998.60,Vant,Vantaa,,*,,,"""Vantaa"" ""Vannas"" ""Vanta"" ""Vantaan kaupunki"" ""Vantaakin"""
Oulu,Pohjois-Pohjanmaa,207717,"2,971.14",69.90,Oulu,Oulu,"lääni, Ouluj, Ouluns, Oulunkyl",Todella paljon Oulun lääniä... Oulunsalo; Oulujärvi; Oulunkylä,,,"""Oulu"" ""Ouluhan"" ""Oulukin"" ""Oulun kaupunki"""
Turku,Varsinais-Suomi,194244,245.66,790.70,Tur,Turku Turu,,,,,"""Turku"" ""Turun kaupunki"" ""Turkukin"" ""Turkuhan"""
Jyväskylä,Keski-Suomi,143400,"1,171.02",122.50,Jyväskyl,Jyväskylä,,,,,
Kuopio,Pohjois-Savo,120248,"3,241.02",37.10,Kuop,Kuopio,lääni,lääni,,,
Lahti,Päijät-Häme,120112,459.49,261.40,Lah,Lahd Laht,"Lahtis, Lahdensuo, Lahdenpohja","NOT Lahtis, Lahdensuo, Lahdenpohja",,"""Lahti"" ""Lahden"" ""Lahdessa"" ""Lahteen"" ""Lahtikin"" ""Lahtea""","""Lahti"" ""Lahden"" ""Lahdessa"" ""Lahteen"" ""Lahtikin"" ""Lahtea"""
Pori,Satakunta,83676,"1,156.10",72.40,Pori,Pori,lääni,**; lääni,,,
Kouvola,Kymenlaakso,81141,"2,557.67",31.70,Kouvol,Kouvola,,,,,
Joensuu,Pohjois-Karjala,76833,"2,381.69",32.30,Joensu,Joensuu,,,,,
Lappeenranta,Etelä-Karjala,72591,"1,433.79",50.60,Lappeenrant,Lappeenran,,,,,
Hämeenlinna,Kanta-Häme,67864,"1,785.35",38.00,Hämeenlinn,Hämeenlinn,,,,,
Vaasa,Pohjanmaa,67447,364.72,184.90,Vaas,Vaasa,"lääni, vaalipiiri",lääni; vaalipiiri,,,
Seinäjoki,Etelä-Pohjanmaa,64335,"1,431.78",44.90,Seinäjo,Seinäjo,,,,,
Rovaniemi,Lappi,63618,"7,581.51",8.40,Rovaniem,Rovaniem,,,,,
Mikkeli,Etelä-Savo,52530,"2,548.19",20.60,Mikkel,Mikkeli,lääni,lääni,,,
Kotka,Kymenlaakso,51603,271.95,189.80,Kotk,Kotka,,,,,
Salo,Varsinais-Suomi,51563,"1,987.21",25.90,Salo,Salo,"Salolainen, Salois, Salora","NOT Salolainen, Salois, Salora",,,
Porvoo,Uusimaa,50711,654.55,77.50,Porvoo,Porvoo,,,,,
Kokkola,Keski-Pohjanmaa,47927,"1,445.95",33.10,Kokkola,Kokkola,,,,,
Hyvinkää,Uusimaa,46684,322.69,144.70,Hyvink,Hyvinkää,,,,,
Lohja,Uusimaa,45913,939.44,48.90,Lohja,Lohja,Lohjanharju,NOT Lohjanharju,,,
Järvenpää,Uusimaa,44722,37.54,"1,191.30",Järvenp,Järvenpää,,,,,
Rauma,Satakunta,39037,496.17,78.70,Rauma,Rauma,Rauma-Repola,NOT Rauma-Repola,,,
Kerava,Uusimaa,37193,30.63,"1,214.30",Kerav,Kerava,Keravanjo,NOT Keravanjo,,,
Kajaani,Kainuu,36563,"1,834.73",19.90,Kajaan,Kajaani,kihlakun,kihlakunta,,,
Kaarina,Varsinais-Suomi,34878,150.65,231.50,Kaarin,Kaarina,,vähän osumia; ehkä mennyt henkilöiden nimiin?,,,
Nokia,Pirkanmaa,34525,288.29,119.80,Noki,Nokia,,,,,
Ylöjärvi,Pirkanmaa,33377,"1,115.75",29.90,Ylöjär,Ylöjärv,,,,,
Savonlinna,Etelä-Savo,32667,"2,238.17",14.60,Savonlinn,Savonlinna,,,,,
Kangasala,Pirkanmaa,32255,658.09,49.00,Kangasal,Kangasal,,,,,
Riihimäki,Kanta-Häme,28757,121.01,237.60,Riihimä,Riihimä,,,,,
Raasepori,Uusimaa,27590,"1,148.34",24.00,Raasepor,Raasepor,,,,,
Imatra,Etelä-Karjala,25988,155.00,167.70,Imatr,Imatra,,,,,
Raisio,Varsinais-Suomi,24555,48.76,503.60,Raisi,Raisio,,,,,
Raahe,Pohjois-Pohjanmaa,24353,"1,015.34",24.00,Raah,Raahe,,,,,
Sastamala,Pirkanmaa,24068,"1,429.16",16.80,Sastamal,Sastamala,,***,,,
Tornio,Lappi,21466,"1,188.78",18.10,Torn,Tornio,"Tornionjo, Tornionla","NOT Tornionjo, Tornionla",,,
Iisalmi,Pohjois-Savo,21126,762.99,27.70,Iisalm,Iisalm,,,,,
Valkeakoski,Pirkanmaa,20744,272.05,76.30,Valkeakosk,Valkeakosk,,,,,
Kurikka,Etelä-Pohjanmaa,20404,"1,724.63",11.80,Kurik,Kurik,,,,,
Kemi,Lappi,20331,95.30,213.30,Kemi,Kemi,"Kemij, Kemih, Kemiö, Keminm","NOT Kemij, Kemih, Kemiö, Keminm",,,
Varkaus,Pohjois-Savo,20240,385.61,52.50,Varkau,Varkau,,,,,
Jämsä,Keski-Suomi,19894,"1,571.37",12.70,Jäms,Jämsä,"Jämsänk, Jämsänj","NOT Jämsänk, Jämsänj",,,
Hamina,Kymenlaakso,19844,609.80,32.50,Hamin,Hamina,,,,,
Naantali,Varsinais-Suomi,19454,312.53,62.20,Naantal,Naantali,,,,,
Pietarsaari,Pohjanmaa,19098,88.45,215.90,Pietarsaar,Pietarsaar,,,,,
Äänekoski,Keski-Suomi,18528,884.58,20.90,Äänekosk,Äänekosk,,,,,
