"Kunta","Vuosi","Kuntien tunnusluvut"
"Äänekoski",1986,11441
"Äänekoski",1987,11497
"Äänekoski",1988,11568
"Äänekoski",1989,11674
"Äänekoski",1990,11821
"Äänekoski",1991,11847
"Äänekoski",1992,11974
"Äänekoski",1993,13730
"Äänekoski",1994,13761
"Äänekoski",1995,13750
"Äänekoski",2004,13717
"Äänekoski",2005,13668
"Äänekoski",2006,13670
"Äänekoski",2007,20404
"Äänekoski",2008,20325
"Äänekoski",2009,20243
"Äänekoski",2010,20244
"Äänekoski",2011,20334
"Äänekoski",2012,20265
"Äänekoski",2013,20077
"Äetsä",1986,5544
"Äetsä",1987,5572
"Äetsä",1988,5571
"Äetsä",1989,5509
"Äetsä",1990,5510
"Äetsä",1991,5535
"Äetsä",1992,5533
"Äetsä",1993,5443
"Äetsä",1994,5384
"Äetsä",1995,5285
"Äetsä",2004,4990
"Äetsä",2005,4955
"Äetsä",2006,4875
"Äetsä",2007,4837
"Äetsä",2008,4790
"Äetsä",2009,0
"Äetsä",2010,0
"Äetsä",2011,0
"Äetsä",2012,0
"Äetsä",2013,0
"Ähtäri",1986,7818
"Ähtäri",1987,7798
"Ähtäri",1988,7811
"Ähtäri",1989,7778
"Ähtäri",1990,7816
"Ähtäri",1991,7807
"Ähtäri",1992,7780
"Ähtäri",1993,7732
"Ähtäri",1994,7681
"Ähtäri",1995,7598
"Ähtäri",2004,6964
"Ähtäri",2005,6885
"Ähtäri",2006,6857
"Ähtäri",2007,6758
"Ähtäri",2008,6620
"Ähtäri",2009,6565
"Ähtäri",2010,6482
"Ähtäri",2011,6412
"Ähtäri",2012,6363
"Ähtäri",2013,6271
"Akaa",1986,0
"Akaa",1987,0
"Akaa",1988,0
"Akaa",1989,0
"Akaa",1990,0
"Akaa",1991,0
"Akaa",1992,0
"Akaa",1993,0
"Akaa",1994,0
"Akaa",1995,0
"Akaa",2004,0
"Akaa",2005,0
"Akaa",2006,0
"Akaa",2007,14109
"Akaa",2008,14225
"Akaa",2009,14246
"Akaa",2010,14406
"Akaa",2011,17091
"Akaa",2012,17134
"Akaa",2013,17108
"Alahärmä",1986,5610
"Alahärmä",1987,5565
"Alahärmä",1988,5533
"Alahärmä",1989,5488
"Alahärmä",1990,5489
"Alahärmä",1991,5440
"Alahärmä",1992,5429
"Alahärmä",1993,5414
"Alahärmä",1994,5383
"Alahärmä",1995,5346
"Alahärmä",2004,4873
"Alahärmä",2005,4817
"Alahärmä",2006,4771
"Alahärmä",2007,4717
"Alahärmä",2008,4659
"Alahärmä",2009,0
"Alahärmä",2010,0
"Alahärmä",2011,0
"Alahärmä",2012,0
"Alahärmä",2013,0
"Alajärvi",1986,9236
"Alajärvi",1987,9308
"Alajärvi",1988,9322
"Alajärvi",1989,9417
"Alajärvi",1990,9477
"Alajärvi",1991,9591
"Alajärvi",1992,9646
"Alajärvi",1993,9687
"Alajärvi",1994,9682
"Alajärvi",1995,9642
"Alajärvi",2004,9057
"Alajärvi",2005,8980
"Alajärvi",2006,8854
"Alajärvi",2007,8801
"Alajärvi",2008,8786
"Alajärvi",2009,10573
"Alajärvi",2010,10487
"Alajärvi",2011,10327
"Alajärvi",2012,10268
"Alajärvi",2013,10227
"Alastaro",1986,3491
"Alastaro",1987,3491
"Alastaro",1988,3445
"Alastaro",1989,3414
"Alastaro",1990,3389
"Alastaro",1991,3359
"Alastaro",1992,3357
"Alastaro",1993,3310
"Alastaro",1994,3291
"Alastaro",1995,3274
"Alastaro",2004,3024
"Alastaro",2005,2977
"Alastaro",2006,2979
"Alastaro",2007,2932
"Alastaro",2008,2906
"Alastaro",2009,0
"Alastaro",2010,0
"Alastaro",2011,0
"Alastaro",2012,0
"Alastaro",2013,0
"Alavieska",1986,3037
"Alavieska",1987,3029
"Alavieska",1988,3032
"Alavieska",1989,3020
"Alavieska",1990,3053
"Alavieska",1991,3071
"Alavieska",1992,3060
"Alavieska",1993,3097
"Alavieska",1994,3084
"Alavieska",1995,3051
"Alavieska",2004,2894
"Alavieska",2005,2854
"Alavieska",2006,2827
"Alavieska",2007,2817
"Alavieska",2008,2759
"Alavieska",2009,2776
"Alavieska",2010,2770
"Alavieska",2011,2750
"Alavieska",2012,2761
"Alavieska",2013,2740
"Alavus",1986,10696
"Alavus",1987,10660
"Alavus",1988,10612
"Alavus",1989,10551
"Alavus",1990,10575
"Alavus",1991,10577
"Alavus",1992,10593
"Alavus",1993,10487
"Alavus",1994,10428
"Alavus",1995,10307
"Alavus",2004,9669
"Alavus",2005,9631
"Alavus",2006,9543
"Alavus",2007,9530
"Alavus",2008,9471
"Alavus",2009,9395
"Alavus",2010,9287
"Alavus",2011,9229
"Alavus",2012,9221
"Alavus",2013,12228
"Anjalankoski",1986,19698
"Anjalankoski",1987,19515
"Anjalankoski",1988,19283
"Anjalankoski",1989,19174
"Anjalankoski",1990,19057
"Anjalankoski",1991,18901
"Anjalankoski",1992,18764
"Anjalankoski",1993,18583
"Anjalankoski",1994,18495
"Anjalankoski",1995,18396
"Anjalankoski",2004,17085
"Anjalankoski",2005,16930
"Anjalankoski",2006,16788
"Anjalankoski",2007,16610
"Anjalankoski",2008,16373
"Anjalankoski",2009,0
"Anjalankoski",2010,0
"Anjalankoski",2011,0
"Anjalankoski",2012,0
"Anjalankoski",2013,0
"Anttola",1986,1817
"Anttola",1987,1860
"Anttola",1988,1858
"Anttola",1989,1855
"Anttola",1990,1915
"Anttola",1991,1965
"Anttola",1992,1953
"Anttola",1993,1929
"Anttola",1994,1941
"Anttola",1995,1918
"Anttola",2004,0
"Anttola",2005,0
"Anttola",2006,0
"Anttola",2007,0
"Anttola",2008,0
"Anttola",2009,0
"Anttola",2010,0
"Anttola",2011,0
"Anttola",2012,0
"Anttola",2013,0
"Artjärvi",1986,1794
"Artjärvi",1987,1740
"Artjärvi",1988,1717
"Artjärvi",1989,1713
"Artjärvi",1990,1710
"Artjärvi",1991,1711
"Artjärvi",1992,1725
"Artjärvi",1993,1697
"Artjärvi",1994,1694
"Artjärvi",1995,1698
"Artjärvi",2004,1540
"Artjärvi",2005,1540
"Artjärvi",2006,1531
"Artjärvi",2007,1500
"Artjärvi",2008,1466
"Artjärvi",2009,1455
"Artjärvi",2010,1407
"Artjärvi",2011,0
"Artjärvi",2012,0
"Artjärvi",2013,0
"Asikkala",1986,8556
"Asikkala",1987,8602
"Asikkala",1988,8656
"Asikkala",1989,8728
"Asikkala",1990,8796
"Asikkala",1991,8835
"Asikkala",1992,8792
"Asikkala",1993,8842
"Asikkala",1994,8761
"Asikkala",1995,8782
"Asikkala",2004,8547
"Asikkala",2005,8560
"Asikkala",2006,8597
"Asikkala",2007,8663
"Asikkala",2008,8604
"Asikkala",2009,8551
"Asikkala",2010,8552
"Asikkala",2011,8498
"Asikkala",2012,8461
"Asikkala",2013,8405
"Askainen",1986,835
"Askainen",1987,866
"Askainen",1988,896
"Askainen",1989,911
"Askainen",1990,907
"Askainen",1991,935
"Askainen",1992,927
"Askainen",1993,926
"Askainen",1994,924
"Askainen",1995,927
"Askainen",2004,938
"Askainen",2005,940
"Askainen",2006,941
"Askainen",2007,959
"Askainen",2008,1007
"Askainen",2009,0
"Askainen",2010,0
"Askainen",2011,0
"Askainen",2012,0
"Askainen",2013,0
"Askola",1986,4133
"Askola",1987,4109
"Askola",1988,4112
"Askola",1989,4165
"Askola",1990,4182
"Askola",1991,4250
"Askola",1992,4311
"Askola",1993,4348
"Askola",1994,4319
"Askola",1995,4269
"Askola",2004,4530
"Askola",2005,4555
"Askola",2006,4627
"Askola",2007,4711
"Askola",2008,4761
"Askola",2009,4831
"Askola",2010,4864
"Askola",2011,4911
"Askola",2012,4988
"Askola",2013,4991
"Aura",1986,2689
"Aura",1987,2781
"Aura",1988,2782
"Aura",1989,2878
"Aura",1990,2906
"Aura",1991,2964
"Aura",1992,3134
"Aura",1993,3232
"Aura",1994,3280
"Aura",1995,3288
"Aura",2004,3620
"Aura",2005,3699
"Aura",2006,3750
"Aura",2007,3823
"Aura",2008,3852
"Aura",2009,3840
"Aura",2010,3911
"Aura",2011,3975
"Aura",2012,3971
"Aura",2013,3962
"Brändö",1986,527
"Brändö",1987,530
"Brändö",1988,531
"Brändö",1989,532
"Brändö",1990,521
"Brändö",1991,524
"Brändö",1992,532
"Brändö",1993,538
"Brändö",1994,546
"Brändö",1995,548
"Brändö",2004,516
"Brändö",2005,519
"Brändö",2006,520
"Brändö",2007,510
"Brändö",2008,518
"Brändö",2009,498
"Brändö",2010,488
"Brändö",2011,480
"Brändö",2012,476
"Brändö",2013,475
"Dragsfjärd",1986,4262
"Dragsfjärd",1987,4203
"Dragsfjärd",1988,4113
"Dragsfjärd",1989,4079
"Dragsfjärd",1990,4054
"Dragsfjärd",1991,4014
"Dragsfjärd",1992,3933
"Dragsfjärd",1993,3852
"Dragsfjärd",1994,3812
"Dragsfjärd",1995,3773
"Dragsfjärd",2004,3378
"Dragsfjärd",2005,3365
"Dragsfjärd",2006,3348
"Dragsfjärd",2007,3332
"Dragsfjärd",2008,3277
