city,year,mention_count
Akaa,1988,1
Alajärvi,1986,3
Alajärvi,1988,2
Alajärvi,1994,2
Alajärvi,1995,1
Alavus,1986,3
Alavus,1990,1
Alavus,1993,1
Espoo,1986,30
Espoo,1987,30
Espoo,1988,61
Espoo,1989,42
Espoo,1990,22
Espoo,1991,46
Espoo,1992,26
Espoo,1993,24
Espoo,1994,24
Espoo,1995,27
Forssa,1986,14
Forssa,1987,8
Forssa,1988,10
Forssa,1989,13
Forssa,1990,8
Forssa,1991,5
Forssa,1992,5
Forssa,1993,6
Forssa,1994,1
Forssa,1995,6
Haapajärvi,1986,4
Haapajärvi,1989,1
Haapajärvi,1990,3
Haapajärvi,1992,1
Haapajärvi,1993,2
Haapavesi,1986,14
Haapavesi,1987,10
Haapavesi,1988,1
Haapavesi,1989,2
Haapavesi,1990,5
Haapavesi,1992,2
Haapavesi,1994,2
Hamina,1986,3
Hamina,1987,17
Hamina,1988,12
Hamina,1989,20
Hamina,1990,6
Hamina,1991,3
Hamina,1992,3
Hamina,1993,9
Hamina,1994,6
Hamina,1995,12
Hanko,1986,6
Hanko,1987,20
Hanko,1988,13
Hanko,1989,3
Hanko,1990,12
Hanko,1991,4
Hanko,1992,4
Hanko,1993,5
Hanko,1995,4
Harjavalta,1986,2
Harjavalta,1987,3
Harjavalta,1988,4
Harjavalta,1989,5
Harjavalta,1990,2
Harjavalta,1993,12
Harjavalta,1994,2
Heinola,1986,6
Heinola,1987,23
Heinola,1988,3
Heinola,1990,2
Heinola,1991,1
Heinola,1992,2
Heinola,1993,11
Heinola,1994,6
Heinola,1995,7
Helsinki,1986,381
Helsinki,1987,380
Helsinki,1988,467
Helsinki,1989,466
Helsinki,1990,403
Helsinki,1991,233
Helsinki,1992,327
Helsinki,1993,381
Helsinki,1994,282
Helsinki,1995,226
Huittinen,1986,2
Huittinen,1987,1
Huittinen,1988,1
Huittinen,1990,1
Huittinen,1991,6
Huittinen,1992,1
Huittinen,1993,5
Huittinen,1994,4
Hyvinkää,1986,9
Hyvinkää,1987,19
Hyvinkää,1988,23
Hyvinkää,1989,5
Hyvinkää,1990,2
Hyvinkää,1991,4
Hyvinkää,1993,6
Hyvinkää,1994,3
Hämeenlinna,1986,20
Hämeenlinna,1987,21
Hämeenlinna,1988,20
Hämeenlinna,1989,17
Hämeenlinna,1990,19
Hämeenlinna,1991,4
Hämeenlinna,1992,8
Hämeenlinna,1993,14
Hämeenlinna,1994,13
Hämeenlinna,1995,8
Iisalmi,1986,3
